droplet_number,ok_down,N_down,R2_down,v_down_mps_wls,v_down_stderr_mps_wls,V_stop_V,V_stop_sigma_V,radius,effective_viscosity,q_C_method1_slip,q_stderr_C_total,n_e_estimate,residual_score
85,False,49.0,0.9666679479920944,1.4831849786302475e-05,7.843724463022539e-07,172.0,1.0,3.280349639468086e-07,1.3810762223427807e-05,4.41831859876873e-20,2.3244937882400746e-21,0.2757697562807379,
86,True,25.0,0.988950473737477,4.444933748390577e-05,9.532919962827952e-07,235.0,1.0,6.022746025622964e-07,1.5534472190420276e-05,2.001432072916219e-19,6.171204082602401e-21,1.2491956445023398,
87,True,51.0,0.9937044713111914,5.243893567398509e-05,9.716529930953937e-07,410.0,1.0,6.583771179332504e-07,1.5735055649439278e-05,1.4985298449695083e-19,4.375746151711726e-21,0.9353087625727466,
88,True,45.0,0.9992462600900544,6.220488694950507e-05,3.02986325007226e-07,220.0,1.0,7.214536464990119e-07,1.5928139671694133e-05,3.6747490468427157e-19,9.392962852598766e-21,2.293597952223485,
89,True,59.0,0.9915071118948566,0.00011395382983,1.973873068445461e-06,600.0,1.0,9.94097176718451e-07,1.650826568140686e-05,3.5250098832688554e-19,9.897702071847548e-21,2.2001381173986436,
90,True,69.0,0.9985349077342732,7.320641981058417e-05,7.259934502715278e-07,550.0,1.0,7.868562120084049e-07,1.6099570208628052e-05,1.90699042356017e-19,4.964908452249777e-21,1.1902498033560576,
91,True,48.0,0.998128280323485,4.057044094606527e-05,4.825346612334971e-07,280.0,1.0,5.732278749357791e-07,1.541762822590888e-05,1.4482680178091574e-19,3.94129263851785e-21,0.9039377975407158,
92,False,47.0,0.9769669643267131,4.5799362908626354e-05,1.6631914346901257e-06,290.0,1.0,6.120866796333232e-07,1.5571810671153376e-05,1.7024166396440123e-19,6.606196423434225e-21,1.0625648904851102,
93,True,106.0,0.9978303341303396,7.516465781676696e-05,3.086807870299112e-07,290.0,1.0,7.979709079850165e-07,1.6126240290869922e-05,3.77214384358133e-19,9.496193620492082e-21,2.354387002988417,
94,True,45.0,0.9887416850869912,5.059047546203289e-05,1.0461471102126464e-06,410.0,1.0,6.457978512826324e-07,1.5692680225762326e-05,1.4142656672533508e-19,4.2650719210215094e-21,0.8827151995860095,
95,False,16.0,0.9778020387143664,3.6784452778489376e-05,2.227045151328517e-06,290.0,1.0,5.435148487799075e-07,1.528731526702087e-05,1.1919589823633034e-19,6.631552461659616e-21,0.7439622804805575,
96,False,22.0,0.9695309959749412,2.056926650736701e-05,9.294008149891342e-07,240.0,1.0,3.9447527842471094e-07,1.4401027254852361e-05,5.506469025682047e-20,2.5378501069018026e-21,0.3436867639203161,
97,True,62.0,0.9914809431743744,6.34032223435338e-05,1.4466404256702716e-06,280.0,1.0,7.288430950932101e-07,1.594885286836712e-05,2.9769337381715495e-19,9.240339271551613e-21,1.8580558940866128,
98,True,67.0,0.9989101775296156,7.375864691127605e-05,5.562703637088583e-07,330.0,1.0,7.900054128182611e-07,1.6107193927495238e-05,3.2166316369949054e-19,8.24544270913964e-21,2.007663555150128,
99,False,17.0,0.9750619598372284,6.200717120062019e-05,1.7111019775242957e-06,390.0,1.0,7.202276608431159e-07,1.592466735137516e-05,2.0623855226710798e-19,6.88130873321294e-21,1.2872397954788048,
100,True,19.0,0.9957346847700712,5.8425144304069e-05,1.2210263420477156e-06,360.0,1.0,6.976698147493625e-07,1.5858889299409296e-05,2.0308243745788716e-19,6.122975424297142e-21,1.267540876257013,
101,True,81.0,0.9963151649359954,5.098488225114615e-05,7.793186743572983e-07,390.0,1.0,6.485008216724221e-07,1.570190463967743e-05,1.505539149563481e-19,4.213934152557192e-21,0.9396836263956407,
102,True,39.0,0.9980174119092374,4.751649648094975e-05,5.594424989751544e-07,240.0,1.0,6.243616376173372e-07,1.561711129819224e-05,2.183345471110371e-19,5.921659980369222e-21,1.362737057061819,
103,False,52.0,0.3185695494092219,3.642151168683088e-06,1.1402132817515648e-06,290.0,1.0,1.416493452467298e-07,1.0486821364881038e-05,2.1099432988038655e-21,6.334127168302356e-22,0.013169230246082004,
104,True,40.0,0.9823681882150496,8.882648072651589e-05,3.625204431422803e-06,270.0,1.0,8.718045936220862e-07,1.6288029414747016e-05,5.283464128099365e-19,2.157375600579766e-20,3.297678930012011,
105,True,32.0,0.9949503958346012,7.557663069566541e-05,1.2092075445302708e-06,320.0,1.0,8.002907804668165e-07,1.6131724470523206e-05,3.448407104383667e-19,9.650664560296692e-21,2.152326423444562,
106,False,38.0,0.7251626161077402,4.171193635814021e-06,7.439265363998912e-07,470.0,1.0,1.5425898593215497e-07,1.0859586468551222e-05,1.6814293599496094e-21,2.865935674314637e-22,0.01049465660819024,
107,False,16.0,0.9322055009602052,1.748949979981212e-05,1.510130887392802e-06,370.0,1.0,3.601404019523591e-07,1.4116888867816838e-05,2.717933828001583e-20,2.1101422352224942e-21,0.1696400865125576,
108,False,29.0,-0.0282982884982343,7.130919814000755e-07,3.242726140870146e-07,230.0,1.0,4.626009909818681e-08,5.712684761667101e-06,9.266525144806906e-23,4.859423351737519e-23,0.0005783710078003114,
109,False,84.0,0.8978319018073061,8.664826319632279e-06,4.493106936184599e-07,250.0,1.0,2.403141253095939e-07,1.2687364885097147e-05,1.1951514859391635e-20,6.395717969107006e-22,0.07459548844844555,
110,True,28.0,0.989428705062718,5.966077305199024e-05,1.3188323124971726e-06,350.0,1.0,7.0552698104315e-07,1.5882215045600286e-05,2.16021961144423e-19,6.629289582991977e-21,1.3483030307657264,
111,True,90.0,0.9980297429753596,6.057585569548005e-05,5.786703415181135e-07,500.0,1.0,7.112937959492478e-07,1.5899050122245e-05,1.5495376250432236e-19,4.043959994953369e-21,0.9671453147925659,
112,True,37.0,0.9964822215391718,7.666554498613359e-05,9.53608485906358e-07,290.0,1.0,8.063924501897478e-07,1.6146015818082654e-05,3.89283888308542e-19,1.0449440117446917e-20,2.429718921419135,
GCD_estimate,,,,,,,,,,1.5217043408681737e-19,,0.949773145217504,0.15537762860490148
