droplet_number,ok_down,N_down,R2_down,v_down_mps_wls,v_down_stderr_mps_wls,V_stop_V,V_stop_sigma_V,radius,effective_viscosity,q_C_method1_slip,q_stderr_C_total,n_e_estimate,residual_score
56,True,196.0,0.9982355949973482,2.746854760221053e-05,2.130822105632353e-07,172.0,1.0,4.631733086820118e-07,1.486702414238639e-05,1.2437331049806566e-19,3.35610140365207e-21,0.7762771460944029,
57,True,348.0,0.99688081697056,2.6897140283471363e-05,1.8925621015119697e-07,137.0,1.0,4.578344807257996e-07,1.483486442120096e-05,1.5080994910141021e-19,4.10670133049398e-21,0.9412816658354176,
58,True,166.0,0.9988340074369636,5.0676958107990434e-05,2.711611877105372e-07,406.0,1.0,6.463914329024073e-07,1.5694711608709932e-05,1.4321411051556846e-19,3.650505491640667e-21,0.8938721703737471,
59,True,344.0,0.9991070939862656,3.2348601200486824e-05,1.194563384591786e-07,203.0,1.0,5.066990982305042e-07,1.5108364419095383e-05,1.3796833537516924e-19,3.593027070762573e-21,0.8611306172323647,
60,True,322.0,0.9969562833886644,3.124046192102147e-05,1.5506191793925626e-07,224.0,1.0,4.971176436837335e-07,1.5058218783487892e-05,1.180740831700165e-19,3.085942271149663e-21,0.7369604615642928,
61,True,169.0,0.9985453003131816,9.099748467785354e-05,2.631324613298581e-07,532.0,1.0,8.830014409053728e-07,1.6310457067659225e-05,2.7861062386374425e-19,6.904739742940298e-21,1.738950737086734,
62,True,348.0,0.99894683560745,3.2752877920252474e-05,1.4258580508799482e-07,256.0,1.0,5.101540824180094e-07,1.5126064954940063e-05,1.1165783479609855e-19,2.8948421850993406e-21,0.6969133891144899,
63,True,313.0,0.9979744451646756,2.134239734380544e-05,1.4315347744807746e-07,73.0,1.0,4.026887818173109e-07,1.4463338675893206e-05,1.9257983108624184e-19,5.735188408340234e-21,1.2019887632828994,
64,True,115.0,0.9995283567311573,5.7296093207317015e-05,2.696959843330779e-07,300.0,1.0,6.904177681619529e-07,1.583695212165027e-05,2.361781368552255e-19,6.001955341461407e-21,1.474107984371126,
65,True,263.0,0.998523437373486,6.195798536665163e-05,4.15304834920332e-07,553.0,1.0,7.199223698456882e-07,1.5923801084348928e-05,1.4526364659683442e-19,3.702740461463616e-21,0.9066643684234034,
66,True,184.0,0.9992209068144958,3.294609269148641e-05,1.4297251845433385e-07,186.0,1.0,5.117978513627438e-07,1.513441698053082e-05,1.5516990665762602e-19,4.0624574986978375e-21,0.9684943804868024,
67,True,41.0,0.9971190152015398,3.862803313150712e-05,4.095189799670868e-07,250.0,1.0,5.581639748637391e-07,1.535301608748287e-05,1.4975125397703578e-19,4.037907764309833e-21,0.9346738106095472,
68,True,90.0,0.997990063414667,5.90780609297437e-05,7.04281925709887e-07,590.0,1.0,7.018317961277085e-07,1.5871301506482867e-05,1.261456201092613e-19,3.3700714225829896e-21,0.7873390326154346,
69,True,41.0,0.9915258243422198,2.7642604111020483e-05,6.643369794356062e-07,290.0,1.0,4.6478863758701464e-07,1.48766363107544e-05,7.454071908724974e-20,2.426410144323177e-21,0.4652465745998998,
70,True,46.0,0.98944109196346,2.464745665474103e-05,6.554976118704911e-07,280.0,1.0,4.3624942655493886e-07,1.4698408778642047e-05,6.383687871364742e-20,2.1748906359213107e-21,0.3984384577764815,
71,True,65.0,0.9949743683688468,3.3851443739641235e-05,5.413542070453594e-07,290.0,1.0,5.194372486683517e-07,1.517265832619605e-05,1.0404622765849374e-19,2.990631039632172e-21,0.6494054740938991,
72,True,42.0,0.9867334782651928,2.8953777460197097e-05,9.585187948702338e-07,150.0,1.0,4.7679876753220076e-07,1.494643820658456e-05,1.5557477500300972e-19,5.905540947116159e-21,0.9710213699384767,
73,False,12.0,0.7796817527778162,6.150650238892279e-06,1.1276176787548156e-06,170.0,1.0,1.9585076309948083e-07,1.1871407135702019e-05,9.513754732165924e-21,1.609899289803173e-21,0.059380186493007636,
