droplet_number,v_down_mps_wls,v_down_stderr_wls,R2_down,chi2red_down,N_down,v_up_mps_wls,v_up_stderr_wls,R2_up,chi2red_up,N_up,v_down_mps_ols,v_down_stderr_ols,v_up_mps_ols,v_up_stderr_ols,ok_down,ok_up
35,3.544932730563497e-05,4.282428308730229e-07,0.9961557301562087,29.83270731657902,192,2.416806126032723e-05,1.5216108124256354e-07,0.9971343536788789,35.08030623190704,364,3.511833837973869e-05,1.5613401412354286e-07,2.4769619211136585e-05,6.081634256720811e-08,True,True
36,4.640516920684562e-05,1.9663415753715386e-07,0.9992113209126278,17.60945692088891,234,4.3859876237145e-05,3.9931253447094315e-07,0.9979220128795964,45.93587568281037,221,4.678093576964771e-05,8.244916881601993e-08,4.4599234078872026e-05,1.2744876040000178e-07,True,True
37,4.175398969511957e-05,1.1684383353985162e-07,0.9994622803350177,18.99245251085124,276,3.0718075367443175e-05,2.1768396778548281e-07,0.9985087050543539,12.767249680423886,171,4.192186952899561e-05,5.7173997424327927e-08,3.063197032885276e-05,9.081656248944025e-08,True,True
38,3.9525409687534994e-05,2.2267092759017198e-07,0.9989482425470758,8.821159352892655,147,4.477099537602614e-05,2.8287757288565694e-07,0.99828879061018,46.29726549235338,261,3.961154279158191e-05,1.0566302597251346e-07,4.442703441630284e-05,1.1217524723642716e-07,True,True
39,4.927962083307779e-05,2.608004866473401e-07,0.9990138569265753,24.068305101422602,198,3.559353181408397e-05,1.885983888009953e-07,0.9988660373811648,48.36857753764014,344,4.903375752545459e-05,1.08622282205605e-07,3.510760947230478e-05,5.8189459735464504e-08,True,True
40,5.704814045466335e-05,1.2735476044132532e-06,0.9958000555681669,1.785016360322275,33,3.48362868423095e-05,1.9777321331085303e-07,0.9985027901073444,41.33584360705104,354,5.70238584944467e-05,6.575685723710002e-07,3.4350128679638696e-05,6.569328194523643e-08,True,True
41,2.609503392290803e-05,1.769776571964878e-07,0.9980353325145135,26.479355955535137,338,2.9108303285400378e-05,1.6824367936691025e-07,0.99829964573105,52.3806440431806,413,2.6355318694763617e-05,6.186579968777456e-08,2.923876687568726e-05,5.907404826214723e-08,True,True
42,3.061684275239949e-05,2.6958115739446904e-07,0.9969279773634317,35.25336307564849,230,3.0042891419224285e-05,1.2097693831113074e-07,0.9988506132680157,20.960942309573824,287,3.0808777324820614e-05,1.1191610056153271e-07,2.9757999973759846e-05,5.7354313389140855e-08,True,True
43,5.877431464680517e-05,2.743852511845556e-07,0.999336443139472,26.52621273737709,274,1.743952951183131e-05,6.556548688467469e-08,0.9981995395569431,16.606394699324042,348,5.79873859997386e-05,7.571337449152857e-08,1.75307317262498e-05,3.932130517022101e-08,True,True
44,3.31136049553323e-05,3.409091218413469e-07,0.9972181827642069,11.279847952424971,174,1.8753105138521785e-05,1.2336919681896343e-07,0.9977217080861958,24.094900795107282,279,3.330362481847432e-05,1.3221809018851908e-07,1.8634893573974568e-05,5.300097232694434e-08,True,True
45,3.4739694218423253e-05,6.076608350549827e-07,0.9934466581907219,49.26002513816766,101,1.617325698838484e-05,1.7311078353963048e-07,0.9959336005647826,18.65691515115633,238,3.465175761418809e-05,2.823263719034051e-07,1.61335119455172e-05,6.697441238326808e-08,True,True
46,3.345304089657425e-05,1.2213218447611008e-07,0.9966403110548878,61.29666676131991,345,4.100343774521697e-05,3.143387449984517e-07,0.9953934804905835,19.65490855206472,175,3.251429913126203e-05,8.45295761841872e-08,4.037561576354681e-05,2.0229213549798548e-07,True,True
47,4.594843845385761e-05,1.2936130522856224e-07,0.9996095343570061,17.724604079582978,320,2.0038456493710058e-05,8.270452475329812e-08,0.9989535266863774,13.265413198217287,271,4.5712106939145275e-05,4.888862840900578e-08,2.0057166352206513e-05,3.949200621859022e-08,True,True
48,3.316022809585227e-05,5.941369540897922e-07,0.9919452766247091,65.19331676994052,141,1.1145919620112975e-05,2.1867961513332897e-07,0.9891369267330198,6.979921745712178,124,3.422482521973083e-05,2.41939025884654e-07,1.108412515886947e-05,1.048831946637326e-07,True,True
49,3.665500132840664e-05,1.0946080364083292e-07,0.9995814221671431,15.010011736620012,332,2.1658746256880443e-05,1.6015341752909576e-07,0.9977687798551771,13.583079525469161,178,3.6691451789912114e-05,4.1277768059302034e-08,2.1666039096079007e-05,7.716090352317488e-08,True,True
50,3.7791361986155865e-05,1.966266207567133e-07,0.9989452820794542,9.380466328471567,231,2.3492670607531475e-05,2.924088941204892e-07,0.9940626234008008,11.703828235722245,126,3.7833025295544036e-05,8.107411838778455e-08,2.3513253151048393e-05,1.611837552949258e-07,True,True
51,4.89974675719439e-05,6.621283449436802e-07,0.9907989954348518,341.4076499134761,234,1.968587042906968e-05,7.440212411998065e-08,0.999188667120365,13.851528034498182,346,4.921624154360185e-05,2.9037030686450557e-07,1.9711345904950206e-05,3.0248277704180887e-08,True,True
52,3.198527719358412e-05,3.1952503527132254e-07,0.9945615306598906,66.90147142298828,227,9.285571830234665e-06,2.3728239592151896e-07,0.9847498085275174,4.804192707847935,71,3.2598227184362125e-05,1.5326501364559653e-07,9.301918064825157e-06,1.3888694500232135e-07,True,True
53,5.123718200230861e-05,1.8661839651232652e-07,0.9991904021660549,18.85518964655817,239,2.734123907667182e-05,4.3533993449649774e-07,0.9906193316347235,49.28411396238004,176,5.091271944889961e-05,9.13399217196914e-08,2.7216448805431833e-05,2.0034330800838466e-07,True,True
54,2.10994060197243e-05,2.0553986044703286e-07,0.9929288341781612,99.46353538890561,323,1.6995259563251415e-05,2.5242790616612245e-07,0.9931390667516106,5.518303951799462,130,2.104087221997503e-05,9.733464210122516e-08,1.7100308095678783e-05,1.2507244208686184e-07,True,True
55,2.139263860605981e-05,7.666452210334573e-08,0.9990452533801847,16.717574038184686,304,3.1488303092667976e-05,5.281032552549742e-07,0.9954746879047821,22.028820315568982,95,2.1383854262840498e-05,3.786078831927381e-08,3.1305721853734155e-05,2.1735839889310028e-07,True,True
56,2.746854760221053e-05,2.1308221056323532e-07,0.9982355949973482,19.801248175866686,196,,,,,0,2.7444253465060064e-05,8.275483028886324e-08,,,True,False
57,2.6897140283471363e-05,1.8925621015119697e-07,0.9968808169705599,104.03830885144994,348,1.8133296595154402e-05,7.946556462635826e-07,0.975760509100744,17.76040752778796,62,2.6642787971595576e-05,7.852102724058337e-08,1.8510178346243915e-05,3.7297407310293053e-07,True,False
