droplet_number,ok_down,ok_up,N_down,N_up,R2_down,R2_up,v_down_mps_wls,v_up_mps_wls,v_down_stderr_mps_wls,v_up_stderr_mps_wls,V_rise_V,radius,effective_viscosity,q_method2,q_unc_from_v,n_e_estimate
15,True,True,200,197,0.9996281986263869,0.9970778850926928,5.3566325719636025e-05,3.340745681945094e-05,1.84719697637541e-07,3.539491662895914e-07,679.5,6.6594128199356e-07,1.575987297112257e-05,1.5192873474113772e-19,8.91713811361365e-22,0.9482645765581532
16,True,True,172,248,0.9991413415165554,0.9994040959930488,3.057158619833526e-05,3.155550063165477e-05,1.431897575892008e-07,1.1266134433763872e-07,383.0,4.912526560584567e-07,1.5026732148615733e-05,1.3542662204775534e-19,7.624266392164337e-22,0.845266490434633
17,True,True,171,85,0.99959837245851,0.9995713379425956,4.778991838120629e-05,4.977775062972819e-05,1.7058516801736769e-07,2.256418592063322e-07,680.5,6.262957321118089e-07,1.562411080891221e-05,1.586736952653228e-19,7.263756562365223e-22,0.9903633088767341
18,True,True,250,122,0.9990592699935814,0.9992703765274452,4.944420493944887e-05,4.71396576414748e-05,2.53364527086456e-07,2.1684232320189026e-07,680.2,6.378821536630477e-07,1.5665281399005934e-05,1.6047189014292744e-19,9.942621840747046e-22,1.0015867585229523
19,True,True,192,268,0.9989112880353144,0.9996258297003336,4.2845325351356886e-05,3.934725968329876e-05,2.642623294302312e-07,1.1553353875387966e-07,609.5,5.904221044386141e-07,1.5487968850135863e-05,1.3946601055855462e-19,1.0040421386917371e-21,0.8704783704800593
20,True,True,291,116,0.9991824445281076,0.9993848585600964,3.055037773109702e-05,5.657321731642452e-05,1.376476527216321e-07,3.0819030406055184e-07,486.0,4.91065657466794e-07,1.502571808629529e-05,1.4959831131730779e-19,8.551177738354728e-22,0.9337192176109829
21,True,True,182,67,0.99880564292359,0.995209244063753,3.948935907536065e-05,2.748519436299836e-05,2.125976926707978e-07,4.623233697609541e-07,430.0,5.648890988630839e-07,1.5382219256401313e-05,1.5306501407974774e-19,1.457427077431124e-21,0.95535667436121
22,True,True,139,185,0.9991379493572676,0.995761506122141,3.196559531327582e-05,3.190326714485032e-05,1.6961677663969213e-07,3.904451790834565e-07,372.4,5.034061141860709e-07,1.5091307551701945e-05,1.4735919426804836e-19,1.269059235380928e-21,0.9197437482292503
23,True,True,188,294,0.9915394243024964,0.9994226135214586,2.9500562032087532e-05,4.08745442915727e-05,5.224027230207196e-07,1.550264006864225e-07,441.2,4.817275629870648e-07,1.4974260938243765e-05,1.301316170585887e-19,2.4768635801993325e-21,0.8122176687454343
24,True,True,229,357,0.9979947911608592,0.9982666289984236,3.032417570724044e-05,2.7358348334320103e-05,1.6295925430846194e-07,1.5354154339165016e-07,361.0,4.890671849830324e-07,1.5014841017758848e-05,1.3270237307578018e-19,9.074569404190394e-22,0.8282630657549597
